pornographic	430095.03066269367	AdultActor
actress	94702.19738941082	AdultActor
porn	74892.17809943718	AdultActor
avn	69383.80947812428	AdultActor
av	44158.26423854985	AdultActor
xrco	37833.935712790444	AdultActor
adult	20739.514028642465	AdultActor
pornography	20532.659828988675	AdultActor
penthouse	20413.560146826647	AdultActor
actor	19543.526065599883	AdultActor
gay	16245.73382086824	AdultActor
gravure	15178.897155982933	AdultActor
idol	13360.732126074745	AdultActor
films	12173.564435282988	AdultActor
model	10810.04256914435	AdultActor
film	10475.909229414465	AdultActor
performer	7548.307246570011	AdultActor
glamour	7116.635894369691	AdultActor
softcore	6834.6141556521925	AdultActor
ellicott	6582.637556095489	AdultActor
stripper	5296.143000062896	AdultActor
sex	5263.204563287676	AdultActor
stage	5147.701331556003	AdultActor
erotic	4879.877391331807	AdultActor
heterosexual	4519.915479560699	AdultActor
pet	4479.962641586937	AdultActor
fetish	4433.888406395361	AdultActor
appeared	4332.878611055664	AdultActor
transsexual	4264.453690295068	AdultActor
nude	4168.91796102884	AdultActor
director	4155.545096927944	AdultActor
movies	3923.2206633331366	AdultActor
bisexual	3701.3481409622646	AdultActor
born	3265.23840583675	AdultActor
industry	2482.621034243514	AdultActor
taliesin	2457.495559972161	AdultActor
hustler	2359.051689414251	AdultActor
american	2263.673989021401	AdultActor
hitomi	2137.856772888322	AdultActor
dancer	2130.113699122059	AdultActor
exotic	2029.3354829285934	AdultActor
starlet	1981.064619243461	AdultActor
lattimore	1814.2779421555574	AdultActor
porno	1814.2779421555574	AdultActor
fame	1813.2839420786731	AdultActor
asami	1569.6055675922992	AdultActor
pink	1445.274501862109	AdultActor
radcliffe	1315.6496660400549	AdultActor
kombat	1306.2960160147798	AdultActor
bondage	1298.9704323933074	AdultActor
topless	1221.5071526948702	AdultActor
name	1195.8176370537071	AdultActor
horner	1186.0836730576145	AdultActor
producer	1149.735986485502	AdultActor
mainstream	1082.3816214693938	AdultActor
awards	1073.3253408457856	AdultActor
videos	1062.903029741492	AdultActor
vivid	1056.957144888577	AdultActor
moma	1048.244841582497	AdultActor
former	1030.9123922839792	AdultActor
katja	1009.9031081880677	AdultActor
playboy	1000.0217848088907	AdultActor
hardcore	970.745354812761	AdultActor
gonzo	961.8846561160406	AdultActor
video	956.9639959863671	AdultActor
japanese	912.4150368808953	AdultActor
directing	844.4874609011566	AdultActor
magazines	830.964873025619	AdultActor
starred	819.8830649491103	AdultActor
breasts	816.4849388462268	AdultActor
tachibana	808.4012475972769	AdultActor
hall	770.4124608985824	AdultActor
mortal	766.2958270380448	AdultActor
award	756.9352290282111	AdultActor
escort	750.6275878497684	AdultActor
kasumi	737.2192994360853	AdultActor
raging	672.9395012390804	AdultActor
prostitute	656.9260572351454	AdultActor
pinchot	639.7259733939761	AdultActor
latex	639.7259733939761	AdultActor
halls	621.2047364289133	AdultActor
hiromi	612.3633958591649	AdultActor
best	604.2578007725282	AdultActor
hiv	601.8356298534381	AdultActor
inducted	601.1666198284967	AdultActor
latham	600.5165991258845	AdultActor
ozawa	592.225720229646	AdultActor
rocco	592.2139708688486	AdultActor
